Deutsch,Wortart,Thailändisch,Add Reverse
simpel,Adj.,ง่าย (ซิมเปิล),y
sitzen,V.,นั่ง,y
sofort,Adv.,ทันที,y
sollen,V.,ควร,y
sondern,Konj.,แต่ (s),y
sonst,Adv.,มิฉะนั้น ไม่งั้น,y
sparen,V.,เก็บ รักษาไว้ (en: save),y
spät,Adj.,ช้า (มาทีหลัง),y
später,Adv.,หลังจากนั้น สายกว่า (s),y
spazieren,V.,เดินเล่น,y
spielen,V.,เล่น,y
Sport treiben,V.,เล่นกีฬา,y
springen,V.,กระโดด,y
spülen,V.,ล้าง (s),y
stecken,V.,เสียบ,y
stehen,V.,ยืน,y
steigen,V.,ขึ้นไป เข้าไป ขึ้น(รถ),y
stellen,V.,วาง เอาวาง (สิ่งของ),y
sterben,V.,เสียชีวิต,y
stolz,Adj.,ภูมิใจ,y
stoppen,V.,หยุด (s),y
stören,V.,รบกวน,y
stundenlang,Adj.,นานหลายชั่วโมง,y
suchen,V.,หา,y
südlich,Adj.,ทางทิศใต้,y
süß,Adj.,หวาน,y
tanzen,V.,เต้น,y
tausend,num.,พัน,y
teilmöbliert,Adj.,พร้อมเฟอร์นิเจอร์บางส่วน,y
teuer,Adj.,แพง,y
toll,Adj.,ยอดเยี่ยม (t),y
töten,V.,ฆ่า ทำลาย,y
tragen,V.,แบก หาม สวม,y
träumen,V.,ฝัน,y
treffen,V.,เจอ พบ,y
trocken,Adj.,แห้ง,y
trotzdem,Adv.,ถึงอย่างนั้น แม้อย่างนั้น (!o),y
tun,V.,ทำ จัดการ เอาไป,y
tut mir Leid,,โทษที,y
über,Präp.,อยู่เหนือ อยู่บน (!o),y
überfluten,V.,(น้ำ)ท่วม,y
überlegen,V.,คิด พิจารณา,y
übermorgen,Adv.,มะรืนนี้,y
übernachten,V.,ค้างคืน,y
überqueren,V.,เดินข้าม (เหนือ),y
überraschen,V.,ทำให้ประหลาดใจ (en: surprise),y
überrascht,Adj.,(ที่)รู้สึกตกใจ,y
übersetzen,V.,แปล,y
übrigens,Adv.,ว่าแต่ (!e),y
um,präp.,ณ เวลา,y
umarmen,V.,กอด,y
um (Position),Präp.,รอบ ๆ (บุพบท),y
umsteigen,V.,เปลี่ยนรถ ต่อรถ เปลี่ยนเครื่อง,y
umziehen,V.,ย้ายที่อยู่ ย้ายบ้าน,y
unbedingt wollen,V.,ต้องการมาก ๆ ต้องการจริง ๆ,y
und zwar,,โดยเฉพาะอย่างยิ่ง (uz),y
ungefähr,Adv.,ประมาณ (จำนวน),y
unregelmäßig,Adj.,ไม่เป็นไปตามกฎ,y
unter,Präp.,ด้านล่าง ด้านใต้,y
unterrichten,V.,สอน (คาบเรียน ชั้นเรียน),y
unterstreichen,V.,ขีดเส้นใต้,y
unterwegs,Adv.,ระหว่างทาง,y
verabreden,V.,ตกลงกัน,y
verbessern,V.,แก้ไข ทำให้<b><u>ดีขึ้น</u></b>,y
verbinden,V.,เชื่อมต่อ สมาน,y
verboten,V.,ห้าม,y
verdienen,V.,มีรายได้,y
vergessen,V.,ลืม,y
vergleichnen,V.,เปรียบเทียบ,y
verheiraten,V.,แต่งงาน,y
verheiratet,Adj.,สมรส(แล้ว),y
verkaufen,V.,ขาย,y
verlängern,V.,ขยาย เลื่อนออก ทำให้ยายขึ้น,y
verlassen,V.,ออกจาก (!g),y
verlieren,V.,ทำหาย,y
verpacken,V.,ห่อ แพ็ค,y
verpassen,V.,พลาดไป (พลาดโอกาส),y
verreist,Adj.,ไม่อยู่,y
verrückt,Adj.,บ้าบอ บ้าบิ่น,y
verschwunden,Adj.,ที่หายตัวไป ขาดหายไป,y
verstecken,V.,หลบ ซ่อน,y
verstehen,V.,เข้าใจ,y
viel,Adj.,เยอะแยะ มาก,y
vielleicht,Adv.,บางที อาจจะ,y
viel los sein,V.,มีอะไรเกิดขึ้นมากมาย,y
viel Spaß!,,ขอให้สนุก,y
voll,Adj.,เต็ม,y
vor,Präp.,ด้านหน้า,y
vor allem,,โดยเฉพาะอย่างยิ่ง (va),y
vorbei,Adv.,จบแล้ว เป็นอดีตไปแล้ว,y
vorbereiten,V.,เตรียมตัว,y
vorhaben,V.,มีแผน,y
vor Kurzem,(วลี),เร็ว ๆ นี้ ช่วงนี้,y
vormittags,Adv.,ตอนสาย,y
vorne,Adv.,ต่อหน้า ด้านหน้า,y
vorsichtig,Adj.,ซึ่งระมัดระวัง,y
vorstellen,V.,แนะนำ ทำให้รู้จัก,y
wachsen,V.,เติบโต,y
wach werden,V.,ตื่น ลุกขึ้น (ww),y
wahr,Adj.,จริง (๑),y
während,Konj.,ในขณะที่ ระหว่างที่ (w),y
wahrscheinlich,Adv./Adj.,เป็นไปได้ คาดว่า ที่น่าจะเป็นไปได้ น่าจะ (!m),y
wandern,V.,ปีนเขา ไฮกิ้ง,y
wann,Adv.,เมื่อไหร่,y
warm,Adj.,อุ่น,y
warten,V.,รอ,y
warum,,ทำไม,y
waschen,V.,ซัก ทำความสะอาด,y
wechseln,V.,เปลี่ยน แลกเปลี่ยน,y
wegen,Präp.,เพราะว่า เนื่องจาก (ใช้คู่กับคำนาม),y
weglassen,V.,ปล่อยไว้ ปล่อยอย่างที่เป็น,y
wegmüssen,V.,จำเป็นต้องไป,y
wegwerfen,V.,ขว้างออกไป ทิ้งไป,y
weh tun,V.,เจ็บ ปวด,y
weiblich,Adj.,เพศหญิง,y
weich,Adj.,นุ่ม,y
weil,Konj.,เพราะว่า,y
weinen,V.,ร้องไห้,y
weit,Adj.,ไกล (w),y
weiter,Adv.,เพิ่ม ต่อ มาก อีก,y
weiterschlafen,V.,นอนต่อ หลับต่อ,y
weit weg,,ไกลออกไป,y
welch,,อันไหน ใด,y
wem,,ใคร (Dativ),y
wenig,pron.,เล็กน้อย ไม่มาก นิดเดียว (w),y
werfen,V.,ทิ้ง ขว้าง โยน,y
wichtig,Adj.,สำคัญ,y
wieder,Adv.,อีกครั้ง (๑),y
wiederholen,V.,ทำซ้ำ,y
wiedersehen,V.,พบกันอีกครั้ง พบกันใหม่,y
wie hoch,,สูงเท่าไหร่ แพงเท่าไหร่,y
wie viel,,มากเท่าไหร่,y
wirklich,Adj.,จริง ๆ (๒),y
wissen,V.,รู้,y
woanders,Adv.,ที่อื่น,y
womit,Adv.,อย่างไร ด้วยวิธีใด ด้วยอะไร,y
wunderbar,Adj.,ยอดเยี่ยม วิเศษ (en: wonderful),y
wunderschön,Adj.,สวยงาม งดงาม (!s),y
wünschen,V.,ปรารถนา อวยพร,y
würdig,Adj.,ทรงคุณค่า (en: worthy),y
zahlen,V.,จ่าย (!be),y
